t,ankle
5.92,-23.6102372
5.93,-22.75597876
5.94,-21.93509294
5.95,-21.19453543
5.96,-20.55307735
5.97,-20.03824659
5.98,-19.63064767
5.99,-19.35343333
6,-19.15968957
6.01,-19.04212017
6.02,-18.95040606
