t,knee
4.77,-61.82544616
4.78,-61.65668325
4.79,-61.26785914
4.8,-60.66018912
4.81,-59.8403121
4.82,-58.83183561
4.83,-57.62971235
4.84,-56.27388408
4.85,-54.74937266
4.86,-53.09851709
4.87,-51.31656358
4.88,-49.42346182
4.89,-47.44422924
4.9,-45.36790871
4.91,-43.22026611
4.92,-41.01541749
4.93,-38.75459959
4.94,-36.44939559
4.95,-34.1061106
4.96,-31.73653003
4.97,-29.3480294
4.98,-26.93883598
4.99,-24.53996969
5,-22.15155588
5.01,-19.79959516
5.02,-17.50557477
5.03,-15.29903148
5.04,-13.21765952
5.05,-11.29874673
5.06,-9.57210571
5.07,-8.06640567
5.08,-6.80325381
5.09,-5.78268981
5.1,-5.01221322
5.11,-4.46866977
5.12,-4.12328243
5.13,-3.91511767
5.14,-3.87323652
5.15,-3.88468314
5.16,-3.96791961
5.17,-4.0803575
5.18,-4.20366536
5.19,-4.32927094
5.2,-4.44266142
5.21,-4.5658114
5.22,-4.72137631
5.23,-4.83614969
5.24,-5.00157924
5.25,-5.15723813
5.26,-5.32255198
5.27,-5.50086384
5.28,-5.71364025
5.29,-5.94130524
5.3,-6.16864991
5.31,-6.38954156
5.32,-6.66336164
5.33,-6.93797819
5.34,-7.20215388
5.35,-7.53834987
5.36,-7.85255341
5.37,-8.15084
5.38,-8.4776915
5.39,-8.78343263
5.4,-9.05629364
5.41,-9.29793861
5.42,-9.42728103
5.43,-9.53120363
5.44,-9.53048162
5.45,-9.43980269
5.46,-9.26016907
5.47,-8.96131938
5.48,-8.57340127
5.49,-8.09627394
5.5,-7.52660641
5.51,-6.91033466
5.52,-6.24023624
5.53,-5.51442337
5.54,-4.81221174
5.55,-4.11200858
5.56,-3.43949455
5.57,-2.8174611
5.58,-2.24677866
5.59,-1.73748152
5.6,-1.27681488
5.61,-0.95087876
5.62,-0.69322978
5.63,-0.49255936
5.64,-0.39746953
5.65,-0.37239151
5.66,-0.42433108
5.67,-0.53708951
5.68,-0.6951119
5.69,-0.89237928
5.7,-1.1094771
5.71,-1.34705304
5.72,-1.61482997
5.73,-1.89991761
5.74,-2.2098334
5.75,-2.55011172
5.76,-2.929738
5.77,-3.34378021
5.78,-3.82102343
5.79,-4.35713813
5.8,-4.97503964
5.81,-5.65822995
5.82,-6.43220482
5.83,-7.31514025
5.84,-8.29675866
5.85,-9.42267997
5.86,-10.68527555
5.87,-12.09089255
5.88,-13.65396041
5.89,-15.38706522
5.9,-17.29884767
5.91,-19.39543546
5.92,-21.67556109
5.93,-24.12118991
5.94,-26.72508377
5.95,-29.46844336
5.96,-32.26116905
5.97,-35.12994028
